source,target,value,words
5c1,6c1,60,憂鬱 悲鬱 氣憤 沉鬱 厭惡 恐懼 悲傷 嫌惡 悲哀 憂傷 憂愁 抑鬱 生氣 哀傷 心急如焚 哀怨 愁苦 煩躁 傷心 嫉妒 厭煩 難過 愁悵 失落 嫌隙 鬱卒 害怕 憤慨 焦躁 傷感 氣不過 心焦 膽怯 懊惱 急躁 煩悶 憂心 反感 惆悵 發愁 心慌 愁悶 心煩 焦灼 煩心 焦急 浮躁 擔憂 煩惱 操心 擔心 著急 慌張 心急 牽腸掛肚 急切 尷尬 牽掛 緊張 掛念
5c2,6c2,59, 絕望 憎恨 暴怒 狂悲 憎惡 怨恨 可恨 痛惡 可憎 痛恨 憤恨 沉痛 悲慘 悲慟 鬱悶 悽慘 痛苦 盛怒 悲痛 悲愴 震怒 憤怒 忿怒 悲憤 恐怖 痛心 躁鬱 懼怕 惱火 可惡 怨憤悵惘 悔恨 惱怒 悲苦 觸怒 心痛 驚駭 傷痛 恐慌 憂憤 氣惱 激憤 心驚膽顫 敵視 嫌怨 煩憂 憂煩 討厭 失望 膽戰心驚 驚恐 焦心 驚嚇 憂慮 忐忑不安 躁急 驚慌 受驚 心有餘悸
5c3,6c3,40,哀痛 哀戚 悲情 嫌憎 悲切 悽楚 酸楚 如坐針氈 悲愁 沮喪 落寞 悲涼 心驚肉跳 畏懼 心酸 畏怯 焦慮 殷憂 哀愁 憂悶 憂惱 哀思 苦惱 苦澀寂寥 苦悶 犯愁 寂寞 辛酸 羞愧 惶惑 惶惶 漠然 悵然 誠惶誠恐 徬徨 悻悻 望穿秋水 貪戀 心醉
5c4,6c4,32,無奈 害羞 平淡 期求 驚訝 好受 入神 眷戀 意欲 平靜 入迷 著迷 慶幸 期望 欣然 仰慕 舒坦 可喜 豁朗 快意 痛快 舒暢 爽快 甜美 心花怒放 驚喜 快活 歡暢 心曠神怡 喜出望外 狂喜 爽
5c5,6c6,6,思念 想要 懷念 想念 盼望 嚮往
5c5,6c5,21,期待 欣喜 歡欣 喜悅 歡喜 開懷 愉快 愉悅 喜歡 喜愛 歡悅 暢快 歡愉 雀躍 高興 滿足 開心 幸福 快樂 甜蜜 愛
6c1,7c1,3,沉鬱 害怕 膽怯
6c1,7c2,33,憂鬱 悲鬱 氣憤 厭惡 恐懼 悲傷 悲哀 憂傷 憂愁 生氣 哀傷 傷心 愁悵 鬱卒 憤慨 傷感 急躁 心慌 焦灼 焦急 浮躁 擔憂 操心 擔心 著急 慌張 心急 牽腸掛肚 急切 尷尬 牽掛 緊張 掛念
6c1,7c5,24,嫌惡 抑鬱 心急如焚 哀怨 愁苦 煩躁 嫉妒 厭煩 難過 失落 嫌隙 焦躁 氣不過 心焦 懊惱 煩悶 憂心 反感 惆悵 發愁 愁悶 心煩 煩心 煩惱
6c2,7c1,59,絕望 憎恨 暴怒 狂悲 憎惡 怨恨 可恨 痛惡 可憎 痛恨 憤恨 沉痛 悲慘 悲慟 鬱悶 悽慘 痛苦 盛怒 悲痛 悲愴 震怒 憤怒 忿怒 悲憤 恐怖 痛心 躁鬱 懼怕 惱火 可惡 怨憤悵惘 悔恨 惱怒 悲苦 觸怒 心痛 驚駭 傷痛 恐慌 憂憤 氣惱 激憤 心驚膽顫 敵視 嫌怨 煩憂 憂煩 討厭 失望 膽戰心驚 驚恐 焦心 驚嚇 憂慮 忐忑不安 躁急 驚慌 受驚 心有餘悸
6c3,7c1,4,哀戚 酸楚 畏怯 惶惑
6c3,7c3,31,哀痛 悲情 嫌憎 悲切 悽楚 悲愁 沮喪 落寞 悲涼 心驚肉跳 心酸 殷憂 哀愁 憂悶 憂惱 哀思 苦惱 苦澀 苦悶 犯愁 寂寞 辛酸 惶惶 漠然 悵然 誠惶誠恐 徬徨 悻悻 望穿秋水 貪戀 心醉
6c3,7c5,5,如坐針氈 畏懼 焦慮 寂寥 羞愧
6c4,7c3,1,好受
6c4,7c4,28,無奈 害羞 期求 驚訝 入神 眷戀 意欲 入迷 著迷 慶幸 欣然 仰慕 舒坦 可喜 豁朗 快意 痛快 舒暢 爽快 甜美 心花怒放 驚喜 快活 歡暢 心曠神怡 喜出望外 狂喜 爽
6c4,7c7,2,平淡 平靜
6c5,7c6,21,期待 欣喜 歡欣 喜悅 歡喜 開懷 愉快 愉悅 喜歡 喜愛 歡悅 暢快 歡愉 雀躍 高興 滿足 開心 幸福 快樂 甜蜜 愛
6c6,7c7,7,思念 想要 懷念 想念 盼望 嚮往
