ID,Term,valence,arousal,continuance,dominance,frequency,typicality,C5_Modal,C5_Cluster1,C5_Cluster2,C5_Cluster3,C5_Cluster4,C5_Cluster5,C6_Modal,C6_Cluster1,C6_Cluster2,C6_Cluster3,C6_Cluster4,C6_Cluster5,C6_Cluster6,C7_Modal,C7_Cluster1,C7_Cluster2,C7_Cluster3,C7_Cluster4,C7_Cluster5,C7_Cluster6,C7_Cluster7
18,鬱悶,2.23,5.63,5.82,4.12,4.67,6.17,2,0,0.9833,0.0167,0,0,2,0,0.9841,0.0159,0,0,0,1,0.9986,0,0.0014,0,0,0,0
90,鬱卒,2.96,4.86,5.08,4.79,3.98,4.74,1,1,0,0,0,0,1,1,0,0,0,0,0,2,0,0.9999,0,0,0,0,0
111,驚嚇,3.18,6.91,3.34,3.92,3.62,5.75,2,0.0021,0.9979,0,0,0,2,0.0021,0.9979,0,0,0,0,1,0.9966,0.0034,0,0,0,0,0
48,驚駭,2.55,7.01,3.67,3.82,2.70,4.24,2,0,1,0,0,0,2,0,1,0,0,0,0,1,1,0,0,0,0,0,0
136,驚慌,3.37,6.57,3.70,4.46,3.53,4.17,2,0.0013,0.9968,0.0019,0,0,2,0.0013,0.9968,0.0019,0,0,0,1,0.9999,0.0001,0,0,0,0,0
193,驚喜,7.24,7.12,3.75,5.60,4.89,6.06,4,0,0,0,1,0,4,0,0,0,1,0,0,4,0,0,0,1,0,0,0
164,驚訝,5.26,6.59,3.15,5.00,4.51,5.68,4,0.0004,0,0,0.9996,0,4,0.0004,0,0,0.9996,0,0,4,0,0.0044,0,0.9956,0,0,0
105,驚恐,3.10,6.89,4.30,4.12,3.78,6.39,2,0.0814,0.9186,0,0,0,2,0.0816,0.9184,0,0,0,0,1,0.8965,0.1035,0,0,0,0,0
200,歡暢,7.36,6.34,5.13,5.88,5.17,5.43,4,0,0,0,0.9975,0.0025,4,0,0,0,0.9995,0.0005,0,4,0,0,0,0.9997,0,0.0003,0
207,歡愉,7.57,6.29,5.42,6.43,6.07,6.59,5,0,0,0,0.0009,0.9991,5,0,0,0,0.0001,0.9999,0,6,0,0,0,0,0,0.9998,0.0002
197,歡喜,7.27,6.22,5.72,6.28,6.12,7.04,5,0,0,0,0.0001,0.9999,5,0,0,0,0,0.9999,0.0001,6,0,0,0,0,0,0.9993,0.0007
205,歡悅,7.47,6.32,5.75,6.15,5.86,6.55,5,0,0,0,0,1,5,0,0,0,0,1,0,6,0,0,0,0,0,1,0
194,歡欣,7.25,6.65,5.64,6.52,6.12,6.16,5,0,0,0,0.0019,0.9981,5,0,0,0,0.0005,0.9995,0,6,0,0,0,0.0001,0,0.9968,0.0032
34,懼怕,2.43,6.70,4.70,3.55,3.69,5.94,2,0.0032,0.9968,0,0,0,2,0.0031,0.9969,0,0,0,0,1,0.9992,0.0008,0,0,0,0,0
33,躁鬱,2.42,6.54,4.30,4.66,3.25,3.92,2,0.0001,0.9871,0.0128,0,0,2,0.0001,0.9875,0.0125,0,0,0,1,0.9993,0,0.0006,0,0,0,0
129,躁急,3.31,6.62,3.54,4.59,4.44,4.31,2,0.3852,0.6141,0.0005,0.0002,0,2,0.3939,0.6054,0.0005,0.0003,0,0,1,0.9287,0.0712,0,0.0001,0,0,0
